minute,class,TVC,MQ135,MQ2,MQ3,Humidity,Temperature
99,excellent,2.614394659,22.65,26.85,14.53,56.5,33.7
100,excellent,2.615197484,22.54,26.72,14.53,56.5,33.7
101,excellent,2.616009146,22.44,26.72,14.53,56.5,33.7
102,excellent,2.616829726,22.24,26.46,14.42,56.5,33.7
103,excellent,2.617659306,22.14,26.33,14.36,56.5,33.7
104,excellent,2.618497965,22.03,26.46,14.36,56.5,33.7
105,excellent,2.619345786,21.64,26.07,14.24,56.5,33.7
106,excellent,2.62020285,20.24,26.07,13.68,56.5,33.8
107,excellent,2.62106924,20.51,24.96,13.84,56.5,33.8
108,excellent,2.621945038,20.15,24.72,13.62,56.5,33.8
109,excellent,2.622830328,20.06,24.37,13.68,56.5,33.8
110,excellent,2.623725193,21.16,25.44,14.24,56.5,33.8
111,excellent,2.624629715,21.35,25.82,14.3,56.5,33.8
112,excellent,2.625543979,21.54,26.2,14.36,56.5,33.8
113,excellent,2.626468069,21.74,26.46,14.42,56.5,33.9
114,excellent,2.627402069,21.93,26.72,14.47,56.5,33.9
115,excellent,2.628346065,21.93,26.72,14.47,56.5,33.9
116,excellent,2.62930014,22.03,26.85,14.47,56.5,33.9
117,excellent,2.63026438,22.03,26.98,14.42,56.5,33.9
118,excellent,2.631238871,22.14,27.39,14.59,56.5,34.1
119,excellent,2.632223698,22.14,27.53,14.59,56.5,34.1
120,excellent,2.633218946,22.34,27.53,14.59,56.5,34.1
121,excellent,2.634224703,22.24,27.67,14.53,56.5,34.1
122,excellent,2.635241054,22.34,27.53,14.59,56.5,34.1
123,excellent,2.636268085,22.44,27.53,14.59,56.5,34.1
124,excellent,2.637305884,22.54,27.67,14.65,56.5,34.1
125,excellent,2.638354537,22.75,27.95,14.71,56.5,34.3
126,excellent,2.639414131,22.75,28.09,14.71,56.5,34.3
127,excellent,2.640484752,22.75,27.95,14.65,56.5,34.3
128,excellent,2.64156649,22.65,27.95,14.59,56.5,34.3
129,excellent,2.642659429,22.65,28.09,14.59,56.5,34.3
130,excellent,2.643763659,19.54,24.96,13.41,56.5,34.5
131,excellent,2.644879266,21.74,27.12,14.53,56.5,34.4
132,excellent,2.646006338,21.64,27.25,14.47,56.5,34.5
133,excellent,2.647144963,21.64,27.12,14.42,56.5,34.4
134,excellent,2.648295228,21.54,27.12,14.42,56.5,34.5
135,excellent,2.649457221,21.64,27.25,14.47,56.5,34.5
136,excellent,2.650631031,21.64,27.25,14.53,56.5,34.4
137,excellent,2.651816744,21.64,27.39,14.53,56.5,34.4
138,excellent,2.653014449,21.64,27.25,14.53,56.5,34.4
139,excellent,2.654224232,21.74,27.39,14.59,56.5,34.4
140,excellent,2.655446183,21.74,27.39,14.59,56.5,34.4
141,excellent,2.656680388,21.64,27.39,14.59,56.5,34.5
142,excellent,2.657926936,21.64,27.53,14.59,56.5,34.5
143,excellent,2.659185913,21.64,27.53,14.59,56.5,34.5
144,excellent,2.660457407,21.64,27.53,14.59,56.5,34.5
145,excellent,2.661741506,21.64,27.67,14.65,56.5,34.5
146,excellent,2.663038297,21.74,27.81,14.65,56.5,34.5
147,excellent,2.664347866,21.74,27.81,14.65,56.5,34.5
148,excellent,2.6656703,21.74,27.95,14.65,56.5,34.5
149,excellent,2.667005687,21.74,27.95,14.71,56.5,34.5
150,excellent,2.668354112,21.84,28.09,14.71,56.5,34.5
151,excellent,2.669715663,21.93,28.09,14.77,56.5,34.5
152,excellent,2.671090425,21.93,28.23,14.77,56.5,34.5
153,excellent,2.672478483,21.93,28.23,14.71,56.5,34.5
154,excellent,2.673879924,21.93,28.23,14.71,56.5,34.5
155,excellent,2.675294833,21.93,28.23,14.71,56.5,34.5
156,excellent,2.676723295,21.93,28.23,14.71,56.5,34.5
157,excellent,2.678165394,21.93,28.37,14.77,56.5,34.5
158,excellent,2.679621215,21.93,28.37,14.77,56.6,34.5
159,excellent,2.681090842,22.03,28.37,14.77,56.6,34.5
160,excellent,2.682574358,22.03,28.37,14.77,56.6,34.5
161,excellent,2.684071846,22.03,28.52,14.83,56.6,34.5
162,excellent,2.68558339,22.14,28.52,14.83,56.6,34.5
163,excellent,2.687109072,22.03,28.66,14.83,56.6,34.5
164,excellent,2.688648974,22.14,28.66,14.83,56.6,34.5
165,excellent,2.690203177,22.14,28.81,14.83,56.6,34.5
166,excellent,2.691771762,22.14,28.81,14.83,56.6,34.6
167,excellent,2.69335481,22.03,28.81,14.83,56.6,34.6
168,excellent,2.694952401,22.14,28.81,14.83,56.6,34.6
169,excellent,2.696564614,22.14,28.96,14.83,56.6,34.6
170,excellent,2.698191529,22.03,28.66,14.83,56.6,34.6
171,excellent,2.699833223,21.93,28.66,14.83,56.6,34.6
172,excellent,2.701489774,21.93,28.66,14.77,56.6,34.6
173,excellent,2.70316126,22.03,28.52,14.77,56.6,34.6
174,excellent,2.704847756,22.03,28.52,14.77,56.6,34.5
175,excellent,2.706549339,22.03,28.66,14.77,56.6,34.6
176,excellent,2.708266084,22.03,28.66,14.77,56.6,34.6
177,excellent,2.709998066,22.03,28.66,14.77,56.6,34.6
178,excellent,2.711745358,22.03,28.52,14.71,56.6,34.6
179,excellent,2.713508033,25.72,9.42,25.63,56.7,36.4
180,excellent,2.715286163,25.35,9.35,25.5,57.1,36.5
181,excellent,2.717079821,25.47,9.35,25.75,57.4,36.3
182,excellent,2.718889076,25.35,9.27,25.63,59.7,36.3
183,excellent,2.720713999,25.11,9.09,25.63,58.9,36.3
184,excellent,2.722554659,24.99,9.02,25.75,59.4,36.3
185,excellent,2.724411124,24.63,8.05,22.86,62.0,35.7
186,excellent,2.726283462,24.99,8.34,24.77,62.7,35.8
187,excellent,2.728171739,25.23,8.44,24.89,63.1,35.6
188,excellent,2.73007602,25.35,8.54,25.01,63.5,35.6
189,excellent,2.731996371,25.23,8.61,25.25,63.7,35.5
190,excellent,2.733932856,25.72,8.68,25.5,64.0,35.5
191,excellent,2.735885537,25.6,8.68,25.25,64.3,35.5
192,excellent,2.737854475,25.6,8.74,25.75,64.5,35.5
193,excellent,2.739839733,25.6,8.71,25.75,64.0,34.8
194,excellent,2.74184137,26.1,8.95,25.88,64.6,35.6
195,excellent,2.743859444,25.47,8.51,25.13,64.6,35.6
196,excellent,2.745894015,25.35,8.51,25.13,64.7,35.6
197,excellent,2.747945137,25.23,8.51,25.13,64.6,35.7
198,excellent,2.750012868,25.11,8.44,25.01,64.6,35.8
199,excellent,2.752097261,25.47,8.44,25.13,64.7,35.8
200,excellent,2.754198371,25.35,8.44,25.13,64.6,35.6
201,excellent,2.756316249,25.11,8.44,24.89,64.6,35.9
202,excellent,2.758450948,25.47,8.44,25.01,64.7,35.9
203,excellent,2.760602516,25.23,8.41,25.25,64.8,35.9
204,excellent,2.762771004,25.23,8.41,25.01,65.3,36.0
205,excellent,2.764956458,25.11,8.44,24.89,65.4,36.0
206,excellent,2.767158926,25.47,8.41,25.13,65.4,36.0
207,excellent,2.769378453,25.47,8.41,24.89,64.8,35.8
208,excellent,2.771615083,25.47,8.41,24.77,65.3,36.1
209,excellent,2.773868859,25.23,8.41,25.01,65.4,36.1
210,excellent,2.776139822,25.23,8.41,25.01,65.6,36.1
211,excellent,2.778428013,25.11,8.41,25.01,65.6,36.3
212,excellent,2.780733471,25.35,8.37,24.65,65.7,36.1
213,excellent,2.783056235,25.11,8.37,24.65,65.8,36.2
214,excellent,2.785396339,25.47,8.37,24.77,66.4,37.0
215,excellent,2.787753821,25.47,8.37,24.77,65.8,36.2
216,excellent,2.790128713,25.35,8.41,24.77,65.9,36.3
217,excellent,2.792521049,25.35,8.44,25.01,65.9,36.2
218,excellent,2.794930858,25.97,8.74,25.38,65.9,36.5
219,excellent,2.797358173,25.72,8.71,25.38,65.9,36.4
220,excellent,2.79980302,24.87,8.24,24.42,66.0,36.4
221,excellent,2.802265427,24.87,8.24,24.42,66.0,36.4
222,excellent,2.80474542,24.99,8.21,24.3,66.0,36.4
223,excellent,2.807243023,24.99,8.21,24.53,66.0,36.5
224,excellent,2.80975826,25.23,8.18,24.3,66.1,36.5
225,excellent,2.812291151,24.99,8.15,24.18,66.0,36.5
226,excellent,2.814841717,24.87,8.18,24.18,66.1,36.5
227,excellent,2.817409977,25.11,8.18,24.3,66.1,36.5
228,excellent,2.819995948,25.35,8.15,24.3,66.2,36.5
229,excellent,2.822599646,25.11,8.11,24.07,66.2,36.6
230,excellent,2.825221085,24.87,8.15,24.18,66.3,36.6
231,excellent,2.827860279,24.99,8.11,24.18,66.2,36.6
232,excellent,2.830517239,25.11,8.11,24.3,66.3,36.6
233,excellent,2.833191975,24.75,8.08,23.84,66.4,36.6
234,excellent,2.835884495,24.75,8.08,23.96,66.6,36.6
235,excellent,2.838594808,25.11,8.08,24.07,66.7,36.6
236,excellent,2.841322919,24.75,8.05,23.96,66.7,36.7
237,excellent,2.844068832,24.75,8.08,24.18,66.8,36.7
238,excellent,2.84683255,24.75,8.08,23.96,66.8,36.7
239,excellent,2.849614075,24.87,8.05,24.07,66.8,36.8
240,excellent,2.852413406,24.87,8.08,24.07,66.8,36.7
241,excellent,2.855230542,24.75,8.05,23.96,66.8,36.8
242,excellent,2.85806548,24.87,8.02,23.84,66.9,36.8
243,excellent,2.860918215,24.99,8.02,23.84,66.8,36.8
244,excellent,2.863788743,24.87,8.02,23.73,66.9,36.8
245,excellent,2.866677054,24.87,8.02,23.84,67.0,36.9
246,excellent,2.869583141,24.87,7.99,23.62,67.0,36.9
247,excellent,2.872506993,24.63,7.95,23.62,67.0,36.9
248,excellent,2.875448599,24.63,7.86,23.4,67.0,36.9
249,excellent,2.878407945,24.52,7.89,23.62,67.0,36.9
250,excellent,2.881385017,24.63,7.89,23.62,67.0,36.9
251,excellent,2.884379799,24.52,7.89,23.62,67.0,36.9
252,excellent,2.887392273,24.63,7.89,23.51,67.1,36.9
253,excellent,2.890422421,24.75,7.99,23.62,67.8,37.0
254,excellent,2.893470222,24.52,7.95,23.4,67.7,37.0
255,excellent,2.896535654,24.63,7.95,23.51,67.9,37.0
256,excellent,2.899618695,24.63,7.95,23.4,67.9,37.0
257,excellent,2.90271932,24.99,7.99,23.51,68.0,37.0
258,excellent,2.905837504,24.87,7.95,23.4,68.1,37.0
259,excellent,2.908973218,24.63,7.95,23.29,68.2,37.0
260,excellent,2.912126434,24.52,7.99,23.51,68.2,37.0
261,excellent,2.915297123,24.52,7.95,23.51,68.3,37.0
262,excellent,2.918485253,24.63,7.92,23.29,68.4,37.0
263,excellent,2.921690791,24.63,7.95,23.29,68.5,37.0
264,excellent,2.924913703,24.52,7.95,23.51,68.5,37.0
265,excellent,2.928153954,24.75,7.92,23.29,68.6,37.0
266,excellent,2.931411507,24.87,7.92,23.29,68.7,37.1
267,excellent,2.934686325,24.52,7.92,23.29,68.6,37.1
268,excellent,2.937978368,24.63,7.8,23.18,68.7,37.1
269,excellent,2.941287595,24.29,7.83,23.18,68.7,37.1
270,excellent,2.944613965,24.52,7.83,23.4,68.7,37.1
271,excellent,2.947957435,24.63,7.83,23.29,68.8,37.1
272,excellent,2.951317961,24.75,7.8,22.96,68.8,37.2
